#{"t_start": 1764779049.909711, "env_id": "None"}
r,l,t
-60.035916,1,12.248387
-27.05,1,18.212991
-60.262406,1,24.484758
-60.096258,1,30.438567
-60.004602,1,36.422692
-60.010913,1,42.553947
-60.014003,1,48.652042
-61.381551,1,60.736338
-60.064549,1,68.26277
-61.381551,1,78.902413
-60.036411,1,86.518306
-60.13876,1,99.185187
-60.098311,1,109.837242
-60.116862,1,115.799444
-60.01281,1,121.997087
-60.00869,1,127.926404
-61.381551,1,134.018671
-60.074365,1,144.809241
-60.0,1,154.313729
-60.052384,1,160.311813
-60.025876,1,167.933569
-60.12364,1,178.785204
-60.0,1,189.621429
-60.047859,1,195.612245
-60.141356,1,201.658384
-60.074903,1,215.749763
-60.0,1,223.427754
-60.044341,1,229.51037
-60.099244,1,240.508852
-60.0,1,247.990408
-60.014474,1,255.563691
-60.0,1,262.10649
-60.0,1,273.13148
-60.0,1,279.068178
-60.031445,1,285.193018
-60.0,1,291.18226
-60.06675,1,297.265399
-60.0,1,303.420478
-60.013615,1,309.543727
-60.209548,1,315.451728
-60.0,1,321.579418
-60.0,1,329.127446
-60.0,1,335.513943
-60.0,1,348.05909
-60.023243,1,354.085788
-60.0,1,360.302458
-60.0,1,368.08564
-60.049416,1,375.363192
-60.0,1,386.204782
-60.0,1,396.957426
-60.0,1,404.862123
-60.0,1,411.441753
-60.004076,1,417.625442
-60.0,1,423.717825
-60.0,1,429.894759
-60.0,1,435.881236
-60.0,1,441.897278
-60.0,1,447.977011
-60.063867,1,454.148326
-36.514884,1,461.821937
-60.0,1,467.851404
-60.0,1,473.82294
-60.0,1,481.396055
-60.0,1,489.110448
-60.0,1,496.684756
-60.0,1,503.049231
-60.0,1,510.70821
-44.914884,1,520.097328
-35.459056,1,528.044436
-60.021658,1,534.149281
-60.015668,1,541.784711
-60.019725,1,548.604303
-60.0,1,556.192895
-60.0,1,564.26732
-60.0,1,571.948062
-60.0,1,577.931181
-60.0,1,584.121467
-60.052334,1,590.220999
-60.0,1,596.961511
-60.0,1,607.42454
-60.0,1,615.279191
-60.037485,1,621.401152
-60.140619,1,629.203795
-60.0,1,635.294669
-60.0,1,641.478879
-60.0,1,647.579942
-60.022127,1,655.33709
-60.057127,1,661.442025
-60.0,1,667.509926
-60.0,1,673.718436
-60.0,1,681.422413
-60.0,1,689.011147
-60.0,1,695.062066
-60.0,1,702.545012
-60.0,1,708.780542
-60.0,1,714.752599
-60.0,1,722.417807
-60.0,1,728.421147
-60.0,1,736.206893
-60.0,1,743.744575
-60.0,1,749.889081
-60.0,1,755.843332
-54.331551,1,768.216911
-60.0,1,774.210172
-60.0,1,781.758006
-60.0,1,794.158633
-60.031462,1,800.421623
-60.0,1,806.40095
-60.0,1,812.476384
-60.0,1,818.45411
-60.0,1,824.563115
-60.0,1,830.785343
-60.0,1,837.017004
-60.0,1,844.641745
-60.255147,1,852.717797
-60.0,1,858.820137
-60.0,1,865.259004
-60.0,1,872.858625
-60.0,1,879.032909
-60.0,1,885.106678
-60.0,1,891.250138
-37.664884,1,899.502809
-60.0,1,905.711318
-60.0,1,911.790549
-60.0,1,918.052569
-60.0,1,924.142626
-60.0,1,931.853676
-60.0,1,938.75453
-60.0,1,944.831379
-60.0,1,951.601294
-60.0,1,957.772876
-60.0,1,965.306397
-60.0,1,971.5213
-60.0,1,977.56198
-60.0,1,983.641648
-45.164884,1,993.567816
-60.0,1,999.633694
-60.0,1,1005.721984
-60.0,1,1013.333718
-60.0,1,1019.302926
-60.0,1,1025.433828
-60.0,1,1032.945698
-60.0,1,1039.095175
-60.0,1,1045.031502
-60.0,1,1051.11642
-60.0,1,1058.844835
-60.0,1,1064.932838
-60.0,1,1070.91396
-60.0,1,1078.540766
-60.0,1,1086.312742
-60.0,1,1093.970318
-60.0,1,1100.033608
-60.159053,1,1106.224914
-60.0,1,1112.430649
-60.0,1,1118.681063
-60.0,1,1127.399038
-60.0,1,1135.796152
-44.231551,1,1145.11734
-60.0,1,1151.509169
-60.0,1,1157.472307
-60.0,1,1163.669853
-60.0,1,1169.841957
-60.0,1,1175.965429
-60.004684,1,1182.107865
-60.0,1,1188.214654
-60.0,1,1194.181213
-60.0,1,1205.098554
-60.0,1,1216.041499
-60.033072,1,1224.549951
-60.022653,1,1232.09884
-60.0,1,1238.639879
-60.0,1,1244.648749
-60.0,1,1250.795148
-28.531551,1,1257.115295
-60.0,1,1264.814709
-52.798218,1,1275.539204
-60.0,1,1281.620769
-60.0,1,1289.45958
-60.0,1,1295.612703
-60.0,1,1306.284798
-60.0,1,1317.27645
-60.0,1,1328.657533
-60.0,1,1334.766946
-60.0,1,1342.720153
-60.0,1,1349.226899
-60.379145,1,1355.321371
-60.0,1,1362.366487
-51.998218,1,1373.329118
-60.0,1,1384.56722
-60.0,1,1395.417709
-51.998218,1,1406.416402
-60.0,1,1417.403448
-60.0,1,1425.426681
-60.0,1,1436.261808
