agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,abc_coef,sr,valid_goals,invalid_goals,avg_xy,max_xy,avg_z
alice,1,28676063,2470,0.0947,1.3305,3.9721,0.05,,,,327,22,0.198,0.562,0.004
alice,1,28676063,2471,0.1271,1.0228,4.0442,0.05,,,,300,14,0.224,0.561,0.005
alice,1,28676063,2472,0.152,0.7652,3.6282,0.05,,,,290,17,0.268,0.643,0.005
alice,1,28676063,2473,0.0666,0.7477,3.7465,0.05,,,,273,23,0.328,0.731,0.005
alice,1,28676063,2474,0.1203,0.7275,3.4828,0.05,,,,289,27,0.345,0.69,0.005
alice,1,28676063,2475,0.0879,0.6968,3.2015,0.05,,,,273,54,0.32,0.695,0.005
alice,1,28676063,2476,0.1277,0.6853,3.2263,0.05,,,,282,43,0.341,0.693,0.006
alice,1,28676063,2477,0.1159,0.7081,2.7905,0.05,,,,290,33,0.328,0.707,0.004
alice,1,28676063,2478,0.1306,0.6448,2.5723,0.05,,,,302,31,0.326,0.683,0.003
alice,1,28676063,2479,0.1515,0.6655,2.7097,0.05,,,,305,22,0.355,0.655,0.004
alice,1,28676063,2480,0.132,0.7296,3.047,0.05,,,,291,26,0.342,0.649,0.005
alice,1,28676063,2481,0.1167,0.6995,2.7262,0.05,,,,309,8,0.36,0.682,0.003
alice,1,28676063,2482,0.0645,0.6089,2.3102,0.05,,,,323,15,0.325,0.616,0.003
alice,1,28676063,2483,0.0557,0.5519,2.0904,0.05,,,,333,12,0.303,0.631,0.002
alice,1,28676063,2484,0.1229,0.5952,2.2791,0.05,,,,320,12,0.348,0.725,0.003
alice,1,28676063,2485,0.1046,0.7047,2.7791,0.05,,,,301,18,0.319,0.664,0.003
alice,1,28676063,2486,0.0768,0.6664,2.7052,0.05,,,,311,18,0.33,0.676,0.004
alice,1,28676063,2487,0.0852,0.6744,2.6471,0.05,,,,309,30,0.315,0.661,0.004
alice,1,28676063,2488,0.1329,0.61,2.6626,0.05,,,,313,12,0.35,0.657,0.004
alice,1,28676063,2489,0.0914,0.8125,3.6866,0.05,,,,293,7,0.301,0.629,0.006
alice,1,28676063,2490,0.0272,0.7561,3.1329,0.05,,,,290,14,0.273,0.6,0.004
alice,1,28676063,2491,0.0597,0.5688,2.2931,0.05,,,,313,22,0.256,0.783,0.002
alice,1,28676063,2492,0.0701,0.5055,2.2079,0.05,,,,324,16,0.294,0.687,0.003
alice,1,28676063,2493,0.1534,0.4953,2.242,0.05,,,,328,12,0.305,0.636,0.005
alice,1,28676063,2494,0.0917,0.5265,2.2925,0.05,,,,304,13,0.309,0.636,0.004
alice,1,28676063,2495,0.1094,0.5297,2.2342,0.05,,,,315,10,0.308,0.587,0.004
alice,1,28676063,2496,0.1099,0.5846,2.3243,0.05,,,,302,26,0.282,0.679,0.005
alice,1,28676063,2497,0.1199,0.5755,2.4145,0.05,,,,309,18,0.3,0.633,0.005
alice,1,28676063,2498,0.1214,0.5064,2.3141,0.05,,,,310,12,0.309,0.69,0.004
alice,1,28676063,2499,0.1009,0.6563,2.9128,0.05,,,,298,14,0.311,0.695,0.005
alice,1,28676063,2500,0.0869,0.511,2.1938,0.05,,,,312,27,0.285,0.649,0.004
alice,1,28676063,2501,0.0713,0.552,2.3354,0.05,,,,316,22,0.28,0.613,0.004
