agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,abc_coef,sr,valid_goals,invalid_goals,avg_xy,max_xy,avg_z,ik_fail_rate,not_moved_frac
alice,0,28830260,0,0.0021,0.0696,1.6757,1.0,,,,84,1378,0.016,0.968,0.011,0.029,0.9350205198358413
alice,0,28830260,1,0.0003,0.1189,3.96,0.9874,,,,102,1224,0.02,1.259,0.012,0.026,0.9079939668174962
alice,0,28830260,2,-0.0014,0.1121,4.2653,0.975,,,,87,1247,0.019,0.951,0.012,0.031,0.9287856071964018
alice,0,28830260,3,-0.0003,0.094,4.3659,0.9628,,,,86,1289,0.018,1.099,0.012,0.024,0.9294545454545454
alice,0,28830260,4,0.0016,0.0986,3.087,0.9507,,,,108,1236,0.024,1.243,0.011,0.028,0.9084821428571429
alice,0,28830260,5,-0.0007,0.0831,3.5946,0.9388,,,,91,1244,0.018,1.013,0.012,0.03,0.9153558052434457
alice,0,28830260,6,-0.0001,0.0896,3.3571,0.927,,,,94,1253,0.02,0.904,0.011,0.029,0.9131403118040089
alice,0,28830260,7,0.0006,0.0794,3.0238,0.9154,,,,101,1250,0.022,1.028,0.012,0.025,0.9126572908956329
alice,0,28830260,8,0.0015,0.1185,3.2075,0.904,,,,115,1180,0.024,1.105,0.012,0.022,0.8957528957528957
alice,0,28830260,9,0.0012,0.1318,3.4237,0.8927,,,,109,1193,0.024,1.34,0.012,0.023,0.9032258064516129
alice,0,28830260,10,0.0008,0.0966,2.75,0.8815,,,,104,1229,0.023,1.079,0.011,0.026,0.9077269317329333
alice,0,28830260,11,0.002,0.1106,3.42,0.8705,,,,107,1197,0.023,1.002,0.012,0.025,0.9041411042944786
alice,0,28830260,12,0.0021,0.1073,3.1837,0.8597,,,,105,1218,0.023,0.87,0.011,0.028,0.9108087679516251
alice,0,28830260,13,0.0036,0.1007,2.7292,0.849,,,,112,1204,0.024,0.793,0.012,0.03,0.9034954407294833
alice,0,28830260,14,0.0015,0.069,2.0857,0.8384,,,,94,1242,0.022,1.094,0.012,0.026,0.9176646706586826
alice,0,28830260,15,0.0042,0.1215,4.3148,0.8279,,,,117,1182,0.026,1.069,0.012,0.027,0.9022324865280985
alice,0,28830260,16,0.0044,0.1095,3.5192,0.8177,,,,118,1194,0.026,1.071,0.012,0.03,0.9001524390243902
alice,0,28830260,17,0.0053,0.1285,3.1935,0.8075,,,,115,1171,0.028,1.219,0.011,0.027,0.895800933125972
alice,0,28830260,18,0.0059,0.1311,3.7,0.7975,,,,138,1159,0.032,1.141,0.012,0.025,0.8789514263685428
alice,0,28830260,19,0.0017,0.1127,3.6604,0.7876,,,,121,1157,0.026,1.086,0.011,0.026,0.8904538341158059
alice,0,28830260,20,0.0059,0.1205,4.0889,0.7778,,,,131,1168,0.028,1.372,0.012,0.027,0.8899153194765204
alice,0,28830260,21,0.0053,0.1447,3.4655,0.7682,,,,127,1129,0.033,1.102,0.013,0.027,0.8821656050955414
alice,0,28830260,22,0.0053,0.1337,3.1186,0.7587,,,,126,1157,0.026,1.059,0.012,0.029,0.882307092751364
alice,0,28830260,23,0.0057,0.1251,2.6825,0.7493,,,,136,1135,0.027,1.205,0.012,0.033,0.8804091266719118
alice,0,28830260,24,0.0062,0.1168,2.8163,0.7401,,,,136,1132,0.028,0.823,0.012,0.025,0.8753943217665615
alice,0,28830260,25,0.0048,0.1574,3.8667,0.7309,,,,135,1102,0.033,1.086,0.012,0.027,0.8714632174616006
alice,0,28830260,26,0.0086,0.1153,2.9412,0.7219,,,,144,1131,0.033,1.116,0.012,0.029,0.8713725490196078
alice,0,28830260,27,0.0075,0.1349,3.4035,0.713,,,,143,1097,0.031,1.017,0.012,0.026,0.867741935483871
alice,0,28830260,28,0.0037,0.1377,3.8136,0.7043,,,,127,1124,0.031,1.289,0.012,0.035,0.8816946442845723
alice,0,28830260,29,0.0139,0.1576,2.7324,0.6956,,,,146,1103,0.034,0.981,0.012,0.025,0.8630904723779024
alice,0,28830260,30,0.0085,0.1172,2.5614,0.6871,,,,139,1111,0.033,1.031,0.012,0.028,0.8656
alice,0,28830260,31,0.0114,0.1665,3.4085,0.6786,,,,155,1066,0.035,1.168,0.012,0.029,0.85995085995086
alice,0,28830260,32,0.0201,0.1642,3.4559,0.6703,,,,165,1056,0.042,1.035,0.012,0.029,0.846027846027846
alice,0,28830260,33,0.0083,0.1573,4.1639,0.6621,,,,147,1071,0.033,1.153,0.012,0.027,0.8579638752052545
alice,0,28830260,34,0.0168,0.1629,2.9552,0.654,,,,169,1052,0.04,1.198,0.012,0.03,0.8452088452088452
alice,0,28830260,35,0.0208,0.2042,3.2278,0.646,,,,201,962,0.047,0.941,0.012,0.03,0.8159931212381771
alice,0,28830260,36,0.0085,0.1927,3.7778,0.6381,,,,166,991,0.044,1.121,0.012,0.03,0.8401037165082109
alice,0,28830260,37,0.0228,0.2119,3.6962,0.6303,,,,209,947,0.054,1.074,0.012,0.031,0.8027681660899654
alice,0,28830260,38,0.0204,0.2483,3.7889,0.6227,,,,216,886,0.055,1.275,0.012,0.03,0.7876588021778584
alice,0,28830260,39,0.016,0.2365,4.1429,0.6151,,,,211,896,0.054,1.206,0.012,0.03,0.7922312556458898
alice,0,28830260,40,0.0201,0.2503,4.2159,0.6076,,,,213,891,0.057,1.068,0.013,0.036,0.7871376811594203
alice,0,28830260,41,0.0156,0.2177,2.8721,0.6002,,,,190,926,0.051,1.094,0.012,0.033,0.8118279569892473
alice,0,28830260,42,0.0229,0.2458,3.8111,0.593,,,,225,890,0.058,1.182,0.012,0.033,0.7820627802690583
alice,0,28830260,43,0.0174,0.2164,3.3718,0.5858,,,,201,922,0.052,1.022,0.013,0.029,0.8005342831700801
alice,0,28830260,44,0.0169,0.227,3.3034,0.5787,,,,195,929,0.051,0.957,0.012,0.03,0.800711743772242
alice,0,28830260,45,0.0259,0.2592,3.7979,0.5717,,,,220,884,0.06,1.101,0.014,0.03,0.7762681159420289
alice,0,28830260,46,0.0246,0.2891,4.3204,0.5648,,,,220,865,0.065,1.091,0.012,0.028,0.7723502304147466
alice,0,28830260,47,0.0165,0.2516,3.6667,0.558,,,,201,924,0.056,1.187,0.012,0.04,0.8026666666666666
alice,0,28830260,48,0.0209,0.2741,4.0,0.5512,,,,226,880,0.06,0.894,0.012,0.033,0.7766726943942134
alice,0,28830260,49,0.0271,0.2836,3.3981,0.5446,,,,251,829,0.07,1.11,0.012,0.029,0.7472222222222222
alice,0,28830260,50,0.0163,0.2891,3.5979,0.5381,,,,218,819,0.064,1.003,0.012,0.032,0.7647058823529411
alice,0,28830260,51,0.0182,0.2687,3.1635,0.5316,,,,231,838,0.065,1.309,0.013,0.037,0.7670720299345183
alice,0,28830260,52,0.0151,0.2811,3.6354,0.5252,,,,242,818,0.067,1.349,0.012,0.033,0.7471698113207547
alice,0,28830260,53,0.0151,0.2822,3.798,0.519,,,,245,787,0.07,1.17,0.013,0.03,0.7461240310077519
alice,0,28830260,54,0.0143,0.2556,3.5275,0.5127,,,,243,823,0.066,1.22,0.013,0.035,0.7401500938086304
alice,0,28830260,55,0.017,0.3066,3.375,0.5066,,,,246,779,0.071,1.093,0.013,0.034,0.7317073170731707
alice,0,28830260,56,0.0132,0.304,3.6071,0.5006,,,,229,813,0.066,0.988,0.012,0.032,0.7504798464491362
alice,0,28830260,57,0.0249,0.3575,4.0403,0.4946,,,,284,708,0.087,1.446,0.013,0.033,0.6945564516129032
alice,0,28830260,58,0.0153,0.285,3.6875,0.4887,,,,250,777,0.071,1.256,0.013,0.028,0.7322297955209348
alice,0,28830260,59,0.0237,0.3008,3.9053,0.4829,,,,274,734,0.084,1.154,0.013,0.027,0.7023809523809523
alice,0,28830260,60,0.0118,0.3082,3.0566,0.4772,,,,259,736,0.081,0.889,0.012,0.037,0.7065326633165829
alice,0,28830260,61,0.0163,0.3633,3.8667,0.4716,,,,260,715,0.08,0.959,0.013,0.028,0.7097435897435898
alice,0,28830260,62,0.0196,0.3374,3.8136,0.466,,,,279,736,0.084,1.017,0.014,0.036,0.7004926108374384
alice,0,28830260,63,0.0179,0.3055,2.8611,0.4605,,,,262,727,0.08,1.18,0.013,0.031,0.7017189079878665
alice,0,28830260,64,0.0193,0.3176,3.9238,0.455,,,,265,715,0.083,1.014,0.013,0.029,0.7020408163265306
alice,0,28830260,65,0.0216,0.3261,3.7965,0.4497,,,,275,722,0.088,1.464,0.013,0.031,0.6930792377131394
alice,0,28830260,66,0.015,0.3069,4.0476,0.4444,,,,253,762,0.077,1.173,0.013,0.03,0.7192118226600985
alice,0,28830260,67,0.0184,0.3432,3.5932,0.4392,,,,262,731,0.081,1.513,0.014,0.03,0.7049345417925479
alice,0,28830260,68,0.0263,0.3774,3.9141,0.434,,,,289,688,0.094,1.074,0.013,0.036,0.6806550665301945
alice,0,28830260,69,0.0195,0.3281,3.8455,0.4289,,,,269,728,0.075,1.302,0.012,0.032,0.7011033099297894
alice,0,28830260,70,0.024,0.3548,3.775,0.4239,,,,275,689,0.086,1.232,0.013,0.029,0.6815352697095436
alice,0,28830260,71,0.0338,0.3677,3.0827,0.419,,,,313,638,0.096,1.155,0.013,0.034,0.6393270241850684
alice,0,28830260,72,0.0159,0.3317,3.3611,0.4141,,,,257,706,0.082,0.946,0.013,0.034,0.7040498442367601
alice,0,28830260,73,0.0289,0.3419,3.6207,0.4093,,,,304,678,0.095,1.135,0.013,0.032,0.6588594704684317
alice,0,28830260,74,0.0236,0.3395,4.1515,0.4045,,,,278,681,0.093,1.066,0.014,0.032,0.6819603753910324
