iter,loss,val,rew,rew_ema,pos_err,sr,ik_fail,avg_pushes,episodes,best_sr
0,0.0024,3.0159,-0.2593,-0.0259,0.2638,0.0,0.0,3.0,326,-1.0
1,-0.0034,2.7309,-0.2144,-0.0448,0.266,0.0,0.001,3.0,352,0.0
2,-0.0013,2.5331,-0.2496,-0.0653,0.2708,0.0,0.0,3.0,347,0.0
3,-0.0029,2.2397,-0.237,-0.0824,0.2562,0.0,0.0,3.0,333,0.0
4,-0.0056,2.3905,-0.2568,-0.0999,0.2547,0.0,0.0,3.0,350,0.0
5,-0.0092,2.0397,-0.2843,-0.1183,0.2525,0.0,0.001,3.0,343,0.0
6,-0.0047,1.9584,-0.1628,-0.1228,0.2627,0.0,0.0,3.0,339,0.0
7,-0.0072,1.8758,-0.2008,-0.1306,0.2562,0.0,0.0,3.0,344,0.0
8,-0.0109,1.9281,-0.2292,-0.1404,0.2684,0.0,0.001,3.0,347,0.0
9,-0.0067,1.7779,-0.1832,-0.1447,0.2527,0.0,0.001,3.0,341,0.0
10,-0.011,1.6827,-0.1425,-0.1445,0.2511,0.0,0.0,3.0,345,0.0
11,-0.0061,1.4645,-0.1651,-0.1466,0.2458,0.005,0.0,3.0,348,0.0
