agent,chain,job_id,global_iter,loss,val,rew,abc,sr
alice,0,28284064,0,-0.0027,0.7739,2.8699,,
alice,0,28286579,1,-0.0025,0.6168,2.6746,,
alice,0,28289035,2,-0.0028,0.5609,2.4402,,
alice,0,28290602,3,-0.0029,0.5486,2.3572,,
alice,0,28292643,5,-0.0025,0.6028,2.7063,,
alice,0,28293198,7,-0.0028,0.5981,2.7429,,
alice,0,28293363,8,-0.003,0.7448,2.6636,,
alice,0,28293762,10,-0.0028,0.7062,2.4902,,
alice,0,28294068,11,-0.0029,0.5247,2.3853,,
alice,0,28306282,13,-0.0026,0.6717,2.8845,,
alice,0,28310190,14,-0.0028,0.674,2.699,,
alice,0,28314421,15,-0.0026,0.7584,2.8174,,
alice,0,28315249,16,-0.0028,0.7745,2.9102,,
alice,0,28315976,17,-0.0025,0.6466,2.6074,,
alice,0,28317633,19,-0.0028,0.6503,2.8015,,
alice,0,28318740,20,-0.0028,0.562,2.3792,,
alice,0,28319721,21,-0.0029,0.679,2.6392,,
alice,0,28320362,22,-0.0028,0.7093,2.7075,,
alice,0,28320969,23,-0.0026,0.6878,2.8943,,
alice,0,28321571,24,-0.0028,0.8141,2.9626,,
alice,0,28322181,25,-0.0028,0.609,2.4573,,
alice,0,28322733,26,-0.003,0.6557,2.605,,
alice,0,28323002,27,-0.0027,0.5401,2.4316,,
alice,0,28323586,29,-0.0029,0.8491,2.948,,
alice,0,28332657,31,-0.0025,0.5837,2.5854,,
alice,0,28333340,32,-0.0025,0.5595,2.6428,,
alice,0,28333558,33,-0.0025,0.6536,2.9688,,
alice,0,28333781,34,-0.0028,0.7323,2.8589,,
alice,0,28334356,36,-0.003,0.7113,2.5854,,
alice,0,28334643,38,-0.0027,0.6592,2.5378,,
alice,0,28336648,40,-0.0025,0.6825,2.8198,,
alice,0,28336912,41,-0.003,0.6921,2.5366,,
alice,0,28337169,42,-0.0026,0.6658,2.8918,,
alice,0,28337412,43,-0.0027,0.6248,2.6562,,
alice,0,28337730,44,-0.003,0.839,2.738,,
alice,0,28338068,46,-0.0027,0.7187,2.738,,
