agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr
alice,0,28385276,370,0.1114,0.7811,3.7363,0.6485,,
alice,0,28385276,371,0.0402,0.7496,3.1406,0.6476,,
alice,0,28385276,372,0.0417,0.8577,3.3359,0.6466,,
alice,0,28385276,373,0.0443,0.8618,3.0137,0.6457,,
alice,0,28385276,374,0.0556,0.9925,3.248,0.6447,,
alice,0,28385276,375,0.0418,0.9146,3.373,0.6438,,
alice,0,28385276,376,0.0532,0.938,2.8926,0.6428,,
alice,0,28385276,377,0.0617,0.9308,3.3086,0.6419,,
alice,0,28385276,378,0.0572,0.9454,3.1836,0.6409,,
alice,0,28385276,379,0.0531,0.9481,3.2598,0.64,,
alice,0,28385276,380,0.0646,0.9553,3.293,0.639,,
alice,0,28385276,381,0.0477,0.954,3.0254,0.6381,,
alice,0,28385276,382,0.0621,0.9429,3.2051,0.6371,,
alice,0,28385276,383,0.0482,0.9169,3.1074,0.6361,,
alice,0,28385276,384,0.0528,0.8943,3.0488,0.6352,,
alice,0,28385276,385,0.0571,0.8692,2.9258,0.6342,,
alice,0,28385276,386,0.0485,0.9149,3.1484,0.6333,,
alice,0,28385276,387,0.0487,0.8349,2.9316,0.6323,,
alice,0,28385276,388,0.0647,0.9222,3.248,0.6314,,
alice,0,28385276,389,0.047,0.9184,3.1055,0.6304,,
alice,0,28385276,390,0.0536,0.8178,2.8594,0.6295,,
alice,0,28385276,391,0.0551,0.8872,3.0137,0.6285,,
alice,0,28385276,392,0.0451,0.8605,2.8359,0.6276,,
alice,0,28385276,393,0.0472,0.8318,2.8887,0.6266,,
alice,0,28385276,394,0.041,0.8627,2.9375,0.6257,,
alice,0,28385276,395,0.0334,0.8603,3.0488,0.6248,,
alice,0,28385276,396,0.053,0.9115,3.0098,0.6238,,
alice,0,28385276,397,0.0589,0.7558,2.7754,0.6229,,
alice,0,28385276,398,0.0501,0.8953,3.0117,0.6219,,
alice,0,28385276,399,0.0445,0.848,2.998,0.621,,
alice,0,28385276,400,0.0373,0.8081,2.7246,0.62,,
alice,0,28385276,401,0.0362,0.7921,2.8418,0.619,,
alice,0,28385276,402,0.0331,0.8675,2.9844,0.6181,,
alice,0,28385276,403,0.0258,0.7972,2.8594,0.6171,,
alice,0,28385276,404,0.031,0.7841,2.7031,0.6162,,
alice,0,28385276,405,0.0272,0.7544,2.6777,0.6153,,
alice,0,28385276,406,0.0295,0.8097,2.9102,0.6143,,
alice,0,28385276,407,0.0274,0.7621,2.709,0.6134,,
alice,0,28385276,408,0.0263,0.8019,2.9062,0.6124,,
alice,0,28385276,409,0.0186,0.813,2.7676,0.6115,,
alice,0,28385276,410,0.0296,0.7243,2.7168,0.6105,,
alice,0,28385276,411,0.0195,0.7183,2.6602,0.6096,,
alice,0,28385276,412,0.0322,0.7979,2.916,0.6086,,
alice,0,28385276,413,0.0227,0.789,2.8457,0.6077,,
alice,0,28385276,414,0.0256,0.7679,2.8672,0.6067,,
alice,0,28385276,415,0.0199,0.7834,2.5898,0.6058,,
alice,0,28385276,416,0.0248,0.742,2.7949,0.6048,,
alice,0,28385276,417,0.0263,0.7189,2.6504,0.6038,,
alice,0,28385276,418,0.0303,0.8343,2.9805,0.6029,,
alice,0,28385276,419,0.0353,0.7996,2.8086,0.6019,,
alice,0,28385276,420,0.0246,0.7247,2.5898,0.601,,
alice,0,28385276,421,0.0216,0.8378,2.9414,0.6,,
alice,0,28385276,422,0.0282,0.7542,2.791,0.5991,,
alice,0,28385276,423,0.0191,0.7236,2.7754,0.5981,,
alice,0,28385276,424,0.0259,0.7082,2.623,0.5972,,
alice,0,28385276,425,0.0311,0.7975,2.8223,0.5962,,
alice,0,28385276,426,0.0315,0.7264,2.541,0.5953,,
alice,0,28385276,427,0.0268,0.7036,2.6445,0.5944,,
alice,0,28385276,428,0.014,0.8305,2.957,0.5934,,
alice,0,28385276,429,0.023,0.789,2.8848,0.5925,,
alice,0,28385276,430,0.0239,0.7429,2.7461,0.5915,,
alice,0,28385276,431,0.0188,0.7996,2.8105,0.5906,,
alice,0,28385276,432,0.0222,0.6997,2.5957,0.5896,,
alice,0,28385276,433,0.0171,0.7946,2.9805,0.5887,,
alice,0,28385276,434,0.0199,0.7411,2.7227,0.5877,,
alice,0,28385276,435,0.0238,0.7419,2.7637,0.5867,,
alice,0,28385276,436,0.0223,0.6633,2.5762,0.5858,,
alice,0,28385276,437,0.0219,0.7846,2.8027,0.5849,,
alice,0,28385276,438,0.0288,0.7559,2.9492,0.5839,,
alice,0,28385276,439,0.0237,0.7229,2.7559,0.583,,
alice,0,28385276,440,0.0231,0.7526,2.832,0.582,,
alice,0,28385276,441,0.0209,0.759,2.7168,0.5811,,
alice,0,28385276,442,0.0204,0.7349,2.6934,0.5801,,
alice,0,28385276,443,0.0268,0.8413,2.9727,0.5792,,
alice,0,28385276,444,0.0217,0.8131,2.8711,0.5782,,
