=== TRAINING UPDATES SUMMARY (Chain 0) ===

--- Chain 0 (14 jobs) ---
  Iter  370 | [Alice] Loss=+0.1114  Val=0.7811  Rew=3.7363  Ent=0.6485  || [Bob]   Loss=-0.0047  Val=0.2015  Rew=0.0019  ABC=-1.0339  SR=0.0914
  Iter  371 | [Alice] Loss=+0.0402  Val=0.7496  Rew=3.1406  Ent=0.6476  || [Bob]   Loss=-0.0051  Val=0.1553  Rew=0.0017  ABC=-1.0209  SR=0.1014
  Iter  372 | [Alice] Loss=+0.0417  Val=0.8577  Rew=3.3359  Ent=0.6466  || [Bob]   Loss=-0.0036  Val=0.1806  Rew=0.0030  ABC=-1.0321  SR=0.1562
  Iter  373 | [Alice] Loss=+0.0443  Val=0.8618  Rew=3.0137  Ent=0.6457  || [Bob]   Loss=+0.0003  Val=0.1935  Rew=0.0030  ABC=-1.0249  SR=0.1785
  Iter  374 | [Alice] Loss=+0.0556  Val=0.9925  Rew=3.2480  Ent=0.6447  || [Bob]   Loss=+0.0024  Val=0.1768  Rew=0.0030  ABC=-1.0474  SR=0.1568
  Iter  375 | [Alice] Loss=+0.0418  Val=0.9146  Rew=3.3730  Ent=0.6438  || [Bob]   Loss=+0.0012  Val=0.2210  Rew=0.0033  ABC=-1.0380  SR=0.1676
  Iter  376 | [Alice] Loss=+0.0532  Val=0.9380  Rew=2.8926  Ent=0.6428  || [Bob]   Loss=+0.0002  Val=0.1830  Rew=0.0027  ABC=-1.0339  SR=0.1551
  Iter  377 | [Alice] Loss=+0.0617  Val=0.9308  Rew=3.3086  Ent=0.6419  || [Bob]   Loss=-0.0015  Val=0.2028  Rew=0.0030  ABC=-1.0489  SR=0.1607
  Iter  378 | [Alice] Loss=+0.0572  Val=0.9454  Rew=3.1836  Ent=0.6409  || [Bob]   Loss=+0.0041  Val=0.2083  Rew=0.0030  ABC=-1.0361  SR=0.1571
  Iter  379 | [Alice] Loss=+0.0531  Val=0.9481  Rew=3.2598  Ent=0.6400  || [Bob]   Loss=-0.0009  Val=0.1461  Rew=0.0022  ABC=-1.0650  SR=0.1261
  Iter  380 | [Alice] Loss=+0.0646  Val=0.9553  Rew=3.2930  Ent=0.6390  || [Bob]   Loss=-0.0045  Val=0.1926  Rew=0.0028  ABC=-1.0589  SR=0.1433
  Iter  381 | [Alice] Loss=+0.0477  Val=0.9540  Rew=3.0254  Ent=0.6381  || [Bob]   Loss=-0.0052  Val=0.2224  Rew=0.0030  ABC=-1.0565  SR=0.1630
  Iter  382 | [Alice] Loss=+0.0621  Val=0.9429  Rew=3.2051  Ent=0.6371  || [Bob]   Loss=+0.0002  Val=0.2127  Rew=0.0034  ABC=-1.0374  SR=0.1716
  Iter  383 | [Alice] Loss=+0.0482  Val=0.9169  Rew=3.1074  Ent=0.6361  || [Bob]   Loss=+0.0001  Val=0.1872  Rew=0.0032  ABC=-1.0347  SR=0.1723
  Iter  384 | [Alice] Loss=+0.0528  Val=0.8943  Rew=3.0488  Ent=0.6352  || [Bob]   Loss=+0.0038  Val=0.2320  Rew=0.0035  ABC=-1.0404  SR=0.1818
  Iter  385 | [Alice] Loss=+0.0571  Val=0.8692  Rew=2.9258  Ent=0.6342  || [Bob]   Loss=+0.0041  Val=0.2212  Rew=0.0029  ABC=-1.0723  SR=0.1635
  Iter  386 | [Alice] Loss=+0.0485  Val=0.9149  Rew=3.1484  Ent=0.6333  || [Bob]   Loss=+0.0027  Val=0.2029  Rew=0.0030  ABC=-1.0610  SR=0.1699
  Iter  387 | [Alice] Loss=+0.0487  Val=0.8349  Rew=2.9316  Ent=0.6323  || [Bob]   Loss=-0.0031  Val=0.2331  Rew=0.0029  ABC=-1.0628  SR=0.1615
  Iter  388 | [Alice] Loss=+0.0647  Val=0.9222  Rew=3.2480  Ent=0.6314  || [Bob]   Loss=-0.0003  Val=0.2319  Rew=0.0031  ABC=-1.0696  SR=0.1713
  Iter  389 | [Alice] Loss=+0.0470  Val=0.9184  Rew=3.1055  Ent=0.6304  || [Bob]   Loss=+0.0031  Val=0.2068  Rew=0.0027  ABC=-1.0646  SR=0.1577
  Iter  390 | [Alice] Loss=+0.0536  Val=0.8178  Rew=2.8594  Ent=0.6295  || [Bob]   Loss=+0.0033  Val=0.1887  Rew=0.0023  ABC=-1.0534  SR=0.1404
  Iter  391 | [Alice] Loss=+0.0551  Val=0.8872  Rew=3.0137  Ent=0.6285  || [Bob]   Loss=+0.0049  Val=0.1913  Rew=0.0026  ABC=-1.0579  SR=0.1451
  Iter  392 | [Alice] Loss=+0.0451  Val=0.8605  Rew=2.8359  Ent=0.6276  || [Bob]   Loss=+0.0092  Val=0.2597  Rew=0.0034  ABC=-1.0496  SR=0.1941
  Iter  393 | [Alice] Loss=+0.0472  Val=0.8318  Rew=2.8887  Ent=0.6266  || [Bob]   Loss=+0.0024  Val=0.2292  Rew=0.0030  ABC=-1.0527  SR=0.1792
  Iter  394 | [Alice] Loss=+0.0410  Val=0.8627  Rew=2.9375  Ent=0.6257  || [Bob]   Loss=+0.0049  Val=0.2771  Rew=0.0037  ABC=-1.0715  SR=0.2000
  Iter  395 | [Alice] Loss=+0.0334  Val=0.8603  Rew=3.0488  Ent=0.6248  || [Bob]   Loss=+0.0020  Val=0.2227  Rew=0.0021  ABC=-1.0577  SR=0.1276
  Iter  396 | [Alice] Loss=+0.0530  Val=0.9115  Rew=3.0098  Ent=0.6238  || [Bob]   Loss=+0.0019  Val=0.2005  Rew=0.0022  ABC=-1.0576  SR=0.1284
  Iter  397 | [Alice] Loss=+0.0589  Val=0.7558  Rew=2.7754  Ent=0.6229  || [Bob]   Loss=+0.0014  Val=0.2373  Rew=0.0023  ABC=-1.0615  SR=0.1424
  Iter  398 | [Alice] Loss=+0.0501  Val=0.8953  Rew=3.0117  Ent=0.6219  || [Bob]   Loss=-0.0023  Val=0.2348  Rew=0.0029  ABC=-1.0498  SR=0.1634
  Iter  399 | [Alice] Loss=+0.0445  Val=0.8480  Rew=2.9980  Ent=0.6210  || [Bob]   Loss=+0.0001  Val=0.1851  Rew=0.0020  ABC=-1.0574  SR=0.1250
  Iter  400 | [Alice] Loss=+0.0373  Val=0.8081  Rew=2.7246  Ent=0.6200  || [Bob]   Loss=+0.0043  Val=0.2272  Rew=0.0028  ABC=-1.0546  SR=0.1649
  Iter  401 | [Alice] Loss=+0.0362  Val=0.7921  Rew=2.8418  Ent=0.6190  || [Bob]   Loss=+0.0020  Val=0.2150  Rew=0.0023  ABC=-1.0499  SR=0.1409
  Iter  402 | [Alice] Loss=+0.0331  Val=0.8675  Rew=2.9844  Ent=0.6181  || [Bob]   Loss=+0.0006  Val=0.1915  Rew=0.0023  ABC=-1.0607  SR=0.1443
  Iter  403 | [Alice] Loss=+0.0258  Val=0.7972  Rew=2.8594  Ent=0.6171  || [Bob]   Loss=-0.0010  Val=0.2239  Rew=0.0028  ABC=-1.0387  SR=0.1607
  Iter  404 | [Alice] Loss=+0.0310  Val=0.7841  Rew=2.7031  Ent=0.6162  || [Bob]   Loss=+0.0027  Val=0.2241  Rew=0.0028  ABC=-1.0570  SR=0.1638
  Iter  405 | [Alice] Loss=+0.0272  Val=0.7544  Rew=2.6777  Ent=0.6153  || [Bob]   Loss=+0.0058  Val=0.2354  Rew=0.0027  ABC=-1.0592  SR=0.1678
  Iter  406 | [Alice] Loss=+0.0295  Val=0.8097  Rew=2.9102  Ent=0.6143  || [Bob]   Loss=+0.0033  Val=0.2403  Rew=0.0029  ABC=-1.0724  SR=0.1959
  Iter  407 | [Alice] Loss=+0.0274  Val=0.7621  Rew=2.7090  Ent=0.6134  || [Bob]   Loss=+0.0042  Val=0.2125  Rew=0.0023  ABC=-1.0554  SR=0.1459
  Iter  408 | [Alice] Loss=+0.0263  Val=0.8019  Rew=2.9062  Ent=0.6124  || [Bob]   Loss=-0.0015  Val=0.2353  Rew=0.0028  ABC=-1.0614  SR=0.1736
  Iter  409 | [Alice] Loss=+0.0186  Val=0.8130  Rew=2.7676  Ent=0.6115  || [Bob]   Loss=+0.0032  Val=0.2463  Rew=0.0027  ABC=-1.0477  SR=0.1712
  Iter  410 | [Alice] Loss=+0.0296  Val=0.7243  Rew=2.7168  Ent=0.6105  || [Bob]   Loss=+0.0044  Val=0.2130  Rew=0.0022  ABC=-1.0358  SR=0.1349
  Iter  411 | [Alice] Loss=+0.0195  Val=0.7183  Rew=2.6602  Ent=0.6096  || [Bob]   Loss=+0.0071  Val=0.2422  Rew=0.0030  ABC=-1.0533  SR=0.1873
  Iter  412 | [Alice] Loss=+0.0322  Val=0.7979  Rew=2.9160  Ent=0.6086  || [Bob]   Loss=-0.0021  Val=0.2438  Rew=0.0028  ABC=-1.0512  SR=0.1616
  Iter  413 | [Alice] Loss=+0.0227  Val=0.7890  Rew=2.8457  Ent=0.6077  || [Bob]   Loss=-0.0000  Val=0.1827  Rew=0.0019  ABC=-1.0502  SR=0.1319
  Iter  414 | [Alice] Loss=+0.0256  Val=0.7679  Rew=2.8672  Ent=0.6067  || [Bob]   Loss=+0.0019  Val=0.1843  Rew=0.0018  ABC=-1.0586  SR=0.1127
  Iter  415 | [Alice] Loss=+0.0199  Val=0.7834  Rew=2.5898  Ent=0.6058  || [Bob]   Loss=+0.0083  Val=0.2759  Rew=0.0030  ABC=-1.0613  SR=0.1913
  Iter  416 | [Alice] Loss=+0.0248  Val=0.7420  Rew=2.7949  Ent=0.6048  || [Bob]   Loss=+0.0025  Val=0.1838  Rew=0.0021  ABC=-1.0644  SR=0.1286
  Iter  417 | [Alice] Loss=+0.0263  Val=0.7189  Rew=2.6504  Ent=0.6038  || [Bob]   Loss=+0.0112  Val=0.2590  Rew=0.0030  ABC=-1.0448  SR=0.1901
