agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr
alice,0,28435166,500,0.0554,0.8876,3.6992,0.05,,
alice,0,28451286,500,0.0462,0.8842,3.543,0.05,,
alice,0,28460216,500,0.0593,0.8976,3.7598,0.05,,
alice,0,28465737,500,0.029,0.8496,3.6562,0.05,,
alice,0,28466464,500,0.0485,0.8933,3.498,0.05,,
alice,0,28435166,501,0.0501,0.806,3.3574,0.05,,
alice,0,28451286,501,0.0537,0.8179,3.9238,0.05,,
alice,0,28460216,501,0.0494,0.7879,3.0469,0.05,,
alice,0,28465737,501,0.0553,0.8577,4.0117,0.05,,
alice,0,28466464,501,0.0561,0.7981,3.6641,0.05,,
alice,0,28435166,502,0.0653,0.7968,3.5898,0.05,,
alice,0,28451286,502,0.0618,0.7868,3.1562,0.05,,
alice,0,28460216,502,0.0767,0.7891,3.252,0.05,,
alice,0,28465737,502,0.1005,0.7716,3.6016,0.05,,
alice,0,28466464,502,0.0933,0.751,3.2188,0.05,,
alice,0,28435166,503,0.0742,0.8146,3.0,0.05,,
alice,0,28451286,503,0.0843,0.8102,3.4199,0.05,,
alice,0,28460216,503,0.1033,0.7301,2.959,0.05,,
alice,0,28465737,503,0.0949,0.7857,3.1152,0.05,,
alice,0,28466464,503,0.0858,0.7195,2.7871,0.05,,
alice,0,28435166,504,0.0854,0.828,2.5469,0.05,,
alice,0,28451286,504,0.1128,0.9661,2.9551,0.05,,
alice,0,28460216,504,0.1194,0.8688,3.1055,0.05,,
alice,0,28465737,504,0.1085,0.9615,2.5469,0.05,,
alice,0,28466464,504,0.084,0.7628,2.252,0.05,,
alice,0,28435166,505,0.103,0.7449,2.2852,0.05,,
alice,0,28451286,505,0.1269,0.8351,3.0254,0.05,,
alice,0,28460216,505,0.1375,0.7008,2.4551,0.05,,
alice,0,28465737,505,0.1184,0.8871,3.0684,0.05,,
alice,0,28466464,505,0.0943,0.7461,2.2891,0.05,,
alice,0,28435166,506,0.1087,0.7282,2.2168,0.05,,
