=== TRAINING UPDATES SUMMARY (Chain 0) ===

--- Chain 0 (5 jobs) ---
  Iter  500 | [Alice] Loss=+0.0554  Val=0.8876  Rew=3.6992  Ent=0.0500  || [Bob]   Loss=-0.0047  Val=0.2787  Rew=0.0032  ABC=-1.0440  SR=0.1486
  Iter  500 | [Alice] Loss=+0.0462  Val=0.8842  Rew=3.5430  Ent=0.0500  || [Bob]   Loss=-0.0048  Val=0.3094  Rew=0.0028  ABC=-1.0250  SR=0.1375
  Iter  500 | [Alice] Loss=+0.0593  Val=0.8976  Rew=3.7598  Ent=0.0500  || [Bob]   Loss=-0.0021  Val=0.2296  Rew=0.0024  ABC=-1.0438  SR=0.1136
  Iter  500 | [Alice] Loss=+0.0290  Val=0.8496  Rew=3.6562  Ent=0.0500  || [Bob]   Loss=-0.0018  Val=0.2823  Rew=0.0030  ABC=-1.0445  SR=0.1405
  Iter  500 | [Alice] Loss=+0.0485  Val=0.8933  Rew=3.4980  Ent=0.0500  || [Bob]   Loss=-0.0013  Val=0.3355  Rew=0.0035  ABC=-1.0378  SR=0.1653
  Iter  501 | [Alice] Loss=+0.0501  Val=0.8060  Rew=3.3574  Ent=0.0500  || [Bob]   Loss=-0.0102  Val=0.3185  Rew=0.0042  ABC=-1.0279  SR=0.2151
  Iter  501 | [Alice] Loss=+0.0537  Val=0.8179  Rew=3.9238  Ent=0.0500  || [Bob]   Loss=-0.0056  Val=0.2143  Rew=0.0037  ABC=-1.0501  SR=0.1607
  Iter  501 | [Alice] Loss=+0.0494  Val=0.7879  Rew=3.0469  Ent=0.0500  || [Bob]   Loss=-0.0011  Val=0.3096  Rew=0.0043  ABC=-1.0461  SR=0.2277
  Iter  501 | [Alice] Loss=+0.0553  Val=0.8577  Rew=4.0117  Ent=0.0500  || [Bob]   Loss=-0.0057  Val=0.2202  Rew=0.0035  ABC=-1.0554  SR=0.1552
  Iter  501 | [Alice] Loss=+0.0561  Val=0.7981  Rew=3.6641  Ent=0.0500  || [Bob]   Loss=-0.0048  Val=0.2322  Rew=0.0035  ABC=-1.0445  SR=0.1671
  Iter  502 | [Alice] Loss=+0.0653  Val=0.7968  Rew=3.5898  Ent=0.0500  || [Bob]   Loss=+0.0024  Val=0.2497  Rew=0.0040  ABC=-1.0344  SR=0.1885
  Iter  502 | [Alice] Loss=+0.0618  Val=0.7868  Rew=3.1562  Ent=0.0500  || [Bob]   Loss=-0.0043  Val=0.2639  Rew=0.0040  ABC=-1.0399  SR=0.2150
  Iter  502 | [Alice] Loss=+0.0767  Val=0.7891  Rew=3.2520  Ent=0.0500  || [Bob]   Loss=-0.0076  Val=0.2772  Rew=0.0037  ABC=-1.0576  SR=0.1970
  Iter  502 | [Alice] Loss=+0.1005  Val=0.7716  Rew=3.6016  Ent=0.0500  || [Bob]   Loss=-0.0081  Val=0.2495  Rew=0.0036  ABC=-1.0678  SR=0.1736
  Iter  502 | [Alice] Loss=+0.0933  Val=0.7510  Rew=3.2188  Ent=0.0500  || [Bob]   Loss=-0.0074  Val=0.2063  Rew=0.0025  ABC=-1.0688  SR=0.1377
  Iter  503 | [Alice] Loss=+0.0742  Val=0.8146  Rew=3.0000  Ent=0.0500  || [Bob]   Loss=-0.0009  Val=0.2690  Rew=0.0042  ABC=-1.0669  SR=0.2229
  Iter  503 | [Alice] Loss=+0.0843  Val=0.8102  Rew=3.4199  Ent=0.0500  || [Bob]   Loss=+0.0000  Val=0.2269  Rew=0.0032  ABC=-1.0704  SR=0.1632
  Iter  503 | [Alice] Loss=+0.1033  Val=0.7301  Rew=2.9590  Ent=0.0500  || [Bob]   Loss=-0.0084  Val=0.2329  Rew=0.0029  ABC=-1.0848  SR=0.1733
  Iter  503 | [Alice] Loss=+0.0949  Val=0.7857  Rew=3.1152  Ent=0.0500  || [Bob]   Loss=-0.0060  Val=0.2548  Rew=0.0034  ABC=-1.0526  SR=0.1893
  Iter  503 | [Alice] Loss=+0.0858  Val=0.7195  Rew=2.7871  Ent=0.0500  || [Bob]   Loss=-0.0064  Val=0.2262  Rew=0.0028  ABC=-1.0668  SR=0.1719
  Iter  504 | [Alice] Loss=+0.0854  Val=0.8280  Rew=2.5469  Ent=0.0500  || [Bob]   Loss=-0.0067  Val=0.3038  Rew=0.0043  ABC=-1.0538  SR=0.2347
  Iter  504 | [Alice] Loss=+0.1128  Val=0.9661  Rew=2.9551  Ent=0.0500  || [Bob]   Loss=+0.0008  Val=0.2719  Rew=0.0041  ABC=-1.0667  SR=0.1994
  Iter  504 | [Alice] Loss=+0.1194  Val=0.8688  Rew=3.1055  Ent=0.0500  || [Bob]   Loss=-0.0020  Val=0.2640  Rew=0.0037  ABC=-1.0971  SR=0.1909
  Iter  504 | [Alice] Loss=+0.1085  Val=0.9615  Rew=2.5469  Ent=0.0500  || [Bob]   Loss=+0.0010  Val=0.3129  Rew=0.0049  ABC=-1.0646  SR=0.2515
  Iter  504 | [Alice] Loss=+0.0840  Val=0.7628  Rew=2.2520  Ent=0.0500  || [Bob]   Loss=-0.0033  Val=0.3346  Rew=0.0038  ABC=-1.0638  SR=0.2381
  Iter  505 | [Alice] Loss=+0.1030  Val=0.7449  Rew=2.2852  Ent=0.0500  || [Bob]   Loss=-0.0043  Val=0.3153  Rew=0.0039  ABC=-1.0846  SR=0.2528
  Iter  505 | [Alice] Loss=+0.1269  Val=0.8351  Rew=3.0254  Ent=0.0500  || [Bob]   Loss=+0.0055  Val=0.2396  Rew=0.0036  ABC=-1.0749  SR=0.1969
