agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals
alice,1,28528527,0,-0.0027,0.955,1.7273,1.0,,,783,5370
alice,1,28528527,1,-0.0016,0.7499,1.4086,0.9881,,,651,5767
alice,1,28528527,2,-0.0009,0.6725,1.2891,0.9763,,,600,5921
alice,1,28528527,3,-0.0011,0.7123,1.4086,0.9647,,,655,5757
alice,1,28528527,4,-0.0014,0.7479,1.5035,0.9533,,,693,5645
alice,1,28528527,5,-0.0007,0.7111,1.425,0.942,,,675,5724
alice,1,28528527,6,-0.0009,0.7326,1.4852,0.9309,,,680,5679
alice,1,28528527,7,-0.0003,0.7327,1.5039,0.9199,,,692,5650
alice,1,28528527,8,-0.0007,0.8097,1.7055,0.909,,,786,5376
alice,1,28528527,9,0.0006,0.7735,1.5914,0.8983,,,738,5510
alice,1,28528527,10,0.0011,0.8375,1.7504,0.8878,,,825,5286
alice,1,28528527,11,0.0014,0.8403,1.7219,0.8773,,,808,5331
alice,1,28528527,12,0.002,0.8647,1.7773,0.8671,,,850,5223
alice,1,28528527,13,0.0021,0.8735,1.7355,0.8569,,,821,5294
alice,1,28528527,14,0.0033,0.9214,1.832,0.8469,,,859,5189
alice,1,28528527,15,0.0032,0.9384,1.8633,0.837,,,868,5147
alice,1,28528527,16,0.0041,0.9643,1.7828,0.8273,,,857,5201
alice,1,28528527,17,0.0043,0.9822,1.8797,0.8176,,,873,5131
alice,1,28528527,18,0.0035,0.9994,1.8691,0.8081,,,889,5126
alice,1,28528527,19,0.0044,0.9987,1.8699,0.7988,,,888,5085
alice,1,28528527,20,0.0039,1.0203,1.9223,0.7895,,,909,5052
alice,1,28528527,21,0.0054,1.0471,1.9684,0.7804,,,948,4954
alice,1,28533912,22,0.0025,0.8855,1.9941,0.7714,,,931,4955
alice,1,28533912,23,0.0027,0.9123,2.0016,0.7625,,,941,4943
alice,1,28533912,24,0.0064,0.9393,2.0926,0.7537,,,980,4825
alice,1,28533912,25,0.0029,0.9327,2.0879,0.7451,,,985,4799
alice,1,28533912,26,0.0027,0.9778,2.182,0.7366,,,1012,4706
alice,1,28533912,27,0.0037,0.9921,2.2844,0.7281,,,1092,4510
alice,1,28533912,28,0.0033,1.0285,2.3668,0.7198,,,1125,4405
alice,1,28533912,29,0.005,1.0696,2.3121,0.7116,,,1112,4475
alice,1,28533912,30,0.0049,1.0006,2.3191,0.7035,,,1088,4523
alice,1,28533912,31,0.0054,1.1095,2.4629,0.6955,,,1150,4332
alice,1,28533912,32,0.0084,1.171,2.5469,0.6877,,,1213,4158
alice,1,28533912,33,0.009,1.2298,2.5801,0.6799,,,1224,4120
alice,1,28533912,34,0.0107,1.2549,2.6613,0.6722,,,1269,3998
alice,1,28533912,35,0.0172,1.1511,2.5402,0.6646,,,1226,4160
alice,1,28533912,36,0.0057,1.1053,2.1695,0.6572,,,1055,4645
alice,1,28533912,37,0.0049,1.1673,2.3148,0.6498,,,1120,4447
alice,1,28533912,38,0.007,1.172,2.2836,0.6425,,,1100,4513
alice,1,28533912,39,0.0083,1.2472,2.3773,0.6353,,,1158,4344
alice,1,28533912,40,0.0127,1.2755,2.4141,0.6283,,,1130,4387
alice,1,28533912,41,0.0129,1.2711,2.6645,0.6213,,,1282,4023
alice,1,28536391,42,0.0181,1.0283,2.718,0.6144,,,1262,3993
