pushes,success,goal_x,goal_y,goal_z,goal_yaw,final_x,final_y,final_z,err_pos,err_rot
1,False,-0.278,0.33,0.02,1.794,0.037,0.545,0.063,0.384,1.571
1,False,0.239,0.619,0.02,2.233,0.306,0.562,0.073,0.103,1.255
1,False,0.089,0.349,0.02,0.904,-0.051,0.574,0.058,0.267,2.043
3,False,-0.253,0.531,0.02,0.683,-0.001,0.297,0.0,0.345,1.482
3,False,0.337,0.359,0.02,5.761,-0.026,0.438,-0.0,0.371,2.769
3,False,-0.04,0.631,0.02,2.615,0.172,0.287,0.0,0.404,1.75
3,False,-0.387,0.467,0.02,0.274,-0.143,0.654,-0.0,0.308,1.962
3,False,0.048,0.34,0.02,2.625,-0.026,0.587,0.0,0.258,2.427
3,False,0.367,0.58,0.02,0.942,-0.004,0.576,-0.0,0.372,2.924
3,False,-0.167,0.456,0.02,4.616,0.032,0.553,0.0,0.222,0.649
2,False,-0.327,0.669,0.02,4.808,-0.006,0.821,0.075,0.36,3.142
3,False,0.149,0.489,0.02,5.554,0.048,0.586,-0.0,0.141,0.121
3,False,0.142,0.688,0.02,4.403,-0.156,0.552,0.0,0.328,1.196
3,False,0.139,0.675,0.02,4.216,-0.04,0.527,0.0,0.233,0.405
3,False,0.333,0.413,0.02,2.501,-0.067,0.493,0.0,0.408,0.085
3,False,0.291,0.415,0.02,5.212,0.103,0.515,0.0,0.214,3.133
3,False,0.22,0.678,0.02,5.176,0.164,0.566,-0.0,0.126,1.615
3,False,-0.121,0.365,0.02,5.389,-0.003,0.494,0.0,0.176,2.249
3,False,-0.368,0.317,0.02,1.807,-0.011,0.411,0.0,0.37,0.463
3,False,0.09,0.589,0.02,4.765,0.041,0.501,0.0,0.103,1.168
3,False,-0.22,0.674,0.02,3.205,0.086,0.647,0.0,0.307,0.164
3,False,0.267,0.445,0.02,4.967,0.053,0.496,0.0,0.221,1.681
3,False,-0.197,0.55,0.02,1.58,0.004,0.51,0.0,0.206,1.46
3,False,0.253,0.351,0.02,5.684,0.028,0.353,0.0,0.226,1.303
3,False,-0.055,0.564,0.02,6.05,-0.259,0.302,0.0,0.333,2.192
3,False,-0.077,0.625,0.02,5.978,-0.045,0.29,0.0,0.336,2.78
3,False,0.126,0.636,0.02,4.197,0.0,0.511,0.0,0.178,0.968
